id,country_of_origin,farm_name,lot_number,mill,ico_number,company,altitude,region,producer,number_of_bags,bag_weight,in_country_partner,harvest_year,grading_date,owner,variety,status,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,overall,defects,total_cup_points,moisture_percentage,category_one_defects,quakers,color,category_two_defects,expiration,certification_body,certification_address,certification_contact,country,altitude_ft_flag,elevation_band,quality_tier
78,Colombia,Asociacion Tayronaca,NPCO-17418,Trilladora Santa Tirsa,,Sucafina NA,2100.0,Americas,Grupo Tap,275,70 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2021 / 2022,"May 11th, 2022",Sucafina Colombia SAS,Castillo and Colombia blend,Completed,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.67,10.0,10.0,10.0,7.83,0.0,84.33,11.6,0,0,green,1,"May 11th, 2023",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,Calle 60A #3D-32 / Planta Baja / CQ Lab ASECC,Carlos Julian Ruiz - 3212026991,Colombia,False,high,specialty
79,Indonesia,"Lintong Nihuta/Dolok Sanggul,Sumatera Utara",CQU2022018,"Lintong Nihuta/Dolok Sanggul,Sumatera Utara",,Coffee Quality Union,1300.0,Asia-Pacific,"Lintong Nihuta/Dolok Sanggul,Sumatera Utara",1,60 kg,Japan Coffee Exchange,2022,"September 21st, 2022",Coffee Quality Union,"Jember,TIM-TIM,Ateng",Completed,Wet Hulling,7.67,7.67,7.83,7.83,7.67,7.75,10.0,10.0,10.0,7.83,0.0,84.25,11.5,0,1,blue-green,1,"September 21st, 2023",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,Indonesia,False,medium,specialty
80,Guatemala,San jose del lago,11/15/96,San jose del lago,11/15/96,"Peter Schoenfeld, S.A.",1600.0,Americas,"Cafetalera Paquim, S.A.",55,30 kg,Asociacion Nacional Del Café,2022 / 2023,"April 17th, 2023",Yesica Alejandra Martìnez Vàsquez,Typica,Completed,Washed / Wet,7.58,7.92,7.67,7.75,7.83,7.75,10.0,10.0,10.0,7.75,0.0,84.25,10.0,0,0,green,1,"April 16th, 2024",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -,Guatemala,False,medium,specialty
81,Madagascar,Mandroso,1,On the farm (mechanical huller and polisher / sorting by hand),,Vao Vao Sarl,1500.0,Africa,Marc Dumont,5,60 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2022,"December 12th, 2022",Marc Dumont,Bourbon,Completed,Washed / Wet,7.92,7.92,7.58,7.75,7.58,7.67,10.0,10.0,10.0,7.83,0.0,84.25,12.1,0,0,blue-green,0,"December 12th, 2023",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland",Tirza Odermatt - +41 41 728 72 81,Madagascar,False,medium,specialty
82,Honduras,La Cuchilla,8,Global Coffee,13-111-030,Mercon Honduras,1368.0,Americas,Jose Nahum Maldonado,345,30 kg,Instituto Hondureño del Café,2022 / 2023,"April 25th, 2023",Comercial Internacional de Granos de Honduras SA de CV,Catuai,Completed,Washed / Wet,7.75,7.75,7.58,7.83,7.75,7.75,10.0,10.0,10.0,7.75,0.0,84.17,10.2,0,0,green,2,"April 24th, 2024",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,Honduras,False,medium,specialty
83,Guatemala,san francisco cotzal,11/441/49,"inmobiliaria e inversiones dos mil, s.a.",11/441/49,"inmobiliaria e inversiones dos mil, s.a.",1600.0,Americas,san francisco cotzal,275,69 kg,Asociacion Nacional Del Café,2021 / 2022,"May 19th, 2022",Angelica Paola Citan Lopez,Caturra,Completed,Washed / Wet,7.58,7.92,7.58,7.83,7.75,7.67,10.0,10.0,10.0,7.75,0.0,84.08,11.0,0,3,green,2,"May 19th, 2023",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -,Guatemala,False,medium,specialty
84,Taiwan,竹崙子莊園,A32-Northern Taiwan Specialty Coffee Evaluation,竹崙子莊園,,Taiwu Coffee Cooperative,150.0,Asia-Pacific,邱建明,1,110 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",Taiwu,unknown,Completed,Pulped natural / honey,7.83,7.92,7.83,7.58,7.58,7.67,10.0,10.0,10.0,7.67,0.0,84.08,10.8,0,0,greenish,2,"January 6th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Taiwan,False,low,specialty
85,Taiwan,元富咖啡莊園,"The 2022 Pacific Rim Coffee Summit,T017",元富咖啡莊園,,Taiwan Coffee Laboratory,800.0,Asia-Pacific,李泓錡,1,80 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,7.92,7.75,7.67,7.75,7.75,8.0,9.33,10.0,10.0,7.92,0.0,84.08,10.6,0,0,yello-green,0,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Taiwan,False,low,specialty
86,Guatemala,varias fincas,11/15/51,El Trèbol/Lìnea Gourmet,11/15/51,"Peter Schoenfeld, S.A.",1550.0,Americas,varios productores,430,30 kg,Asociacion Nacional Del Café,2022 / 2023,"March 22nd, 2023",Yesica Alejandra Martìnez Vàsquez,Caturra,Completed,Washed / Wet,7.67,7.83,7.67,7.83,7.75,7.67,10.0,10.0,10.0,7.67,0.0,84.08,11.0,0,1,green,2,"March 21st, 2024",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -,Guatemala,False,medium,specialty
87,Guatemala,varias fincas,11/15/59,El Trebol/Linea Gourmet,11/15/59,"Peter Schoenfeld, S.A.",1550.0,Americas,varios productores,200,30 kg,Asociacion Nacional Del Café,2022 / 2023,"March 22nd, 2023",Yesica Alejandra Martìnez Vàsquez,Caturra,Completed,Washed / Wet,7.67,7.92,7.67,7.75,7.67,7.58,10.0,10.0,10.0,7.75,0.0,84.0,11.0,0,2,green,2,"March 21st, 2024",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -,Guatemala,False,medium,specialty
88,Honduras,finca de la casa,"The 2022 Pacific Rim Coffee Summit,HN04",De la casa,,Taiwan Coffee Laboratory,1800.0,Americas,Irma Consuelo Bonilla Hernandez,16,30 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022","Kao,SIng-jay",Typica,Completed,Pulped natural / honey,7.75,7.75,7.75,7.67,7.75,7.67,10.0,10.0,10.0,7.67,0.0,84.0,9.4,0,0,green,0,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Honduras,False,high,specialty
89,"Tanzania, United Republic Of",KONGONI ESTATE,CN 4127230031/P-9139,RAFIKI MILL,033/DE/491/001,C.DORMAN SEZ LTD,1675.0,Africa,DORMAN (T) LTD,200,60 kg,Kenya Coffee Traders Association,2022 / 2023,"January 3rd, 2023",Gilbert Maina,Bourbon,Completed,Washed / Wet,7.58,7.67,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.75,0.0,84.0,9.8,0,0,greenish,3,"January 3rd, 2024",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621,"Tanzania, United Republic Of",False,high,specialty
90,Ethiopia,Ecom Agroindustrial,1077,Beneficio humedo,010-0424-0586,Descafeinadores Mexicano SA. de CV,1800.0,Africa,Ecom Agroindustrial,300,60 kg,Centro Agroecológico del Café A.C.,2021 / 2022,"November 18th, 2022",Descafeinadores Mexicanos S.A de C.V,Ethiopian Heirlooms,Completed,Washed / Wet,8.0,7.75,7.5,7.67,7.67,7.67,10.0,10.0,10.0,7.75,0.0,84.0,11.3,1,1,green,1,"November 18th, 2023",Centro Agroecológico del Café A.C.,"Instituto de Ecología A. C., Campus III Edificio A Planta Baja Carretera Antigua a Coatepec No. 351 Col. El Haya C.P. 91070 Xalapa, Veracruz, México.",Stephany Escamilla Femat - Tel. +52 228 8421800 Ext. 3092,Ethiopia,False,high,specialty
91,"Tanzania, United Republic Of",MASHIMA AMCOS,CN 4127220159/4189220459,GOURMET COFFEE MILL,033/0010/022,DORMAN (T) LTD,1550.0,Africa,DORMAN,320,60 kg,Kenya Coffee Traders Association,2022 / 2023,"November 21st, 2022",Gilbert Maina,Bourbon,Completed,Washed / Wet,7.75,7.58,7.58,7.92,7.67,7.75,10.0,10.0,10.0,7.75,0.0,84.0,11.6,0,0,greenish,2,"November 21st, 2023",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621,"Tanzania, United Republic Of",False,medium,specialty
92,Colombia,COO,3-002-00883,Laumayer Armenia,,InterAmerican Coffee,1550.0,Americas,Cooperativa Central de Caficultores del Huila,275,70 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2022,"July 27th, 2022",Charles Umeano,Caturra,Completed,Washed / Wet,7.67,7.83,7.58,7.92,7.67,7.67,10.0,10.0,10.0,7.67,0.0,84.0,13.3,0,2,green,3,"July 27th, 2023",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland",Tirza Odermatt - +41 41 728 72 81,Colombia,False,medium,specialty
93,Costa Rica,Gamboa Farm,12077-01,Beneficio Montañas del Diamante,5-0025-0132,CECA S.A.,1850.0,Americas,Martin Gutierrez,250,35 kg,Specialty Coffee Association of Costa Rica,2022 / 2023,"April 19th, 2023",Joselyn Morales Quesada,Caturra,Completed,Washed / Wet,7.67,7.92,7.58,7.75,7.67,7.58,10.0,10.0,10.0,7.75,0.0,83.92,9.5,0,0,green,2,"April 18th, 2024",Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685,Costa Rica,False,high,specialty
94,Guatemala,El Morito,"The 2022 Pacific Rim Coffee Summit,GT01",Sube,,Taiwan Coffee Laboratory,1900.0,Americas,Various producers,1,15 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021,"November 15th, 2022",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,7.83,7.83,7.58,7.67,7.67,7.58,10.0,10.0,10.0,7.75,0.0,83.92,11.9,0,0,greenish,0,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Guatemala,False,high,specialty
95,Guatemala,San jose del lago,11/15/95,San jose del lago,11/15/95,"Peter Schoenfeld, S.A.",1600.0,Americas,"Cafetalera Paquim, S.A.",35,30 kg,Asociacion Nacional Del Café,2022 / 2023,"April 17th, 2023",Yesica Alejandra Martìnez Vàsquez,Bourbon,Completed,Washed / Wet,7.58,7.83,7.58,7.75,7.67,7.75,10.0,10.0,10.0,7.75,0.0,83.92,10.0,0,1,green,2,"April 16th, 2024",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -,Guatemala,False,medium,specialty
96,Thailand,Baan San Charoen,CQU2022016,Baan San Charoen,,Coffee Quality Union,1350.0,Asia-Pacific,Phaibul Kitcharoen,1,30 kg,Japan Coffee Exchange,2022,"September 21st, 2022",Coffee Quality Union,Catimor,Completed,Natural / Dry,7.75,7.67,7.58,7.75,7.75,7.67,10.0,10.0,10.0,7.75,0.0,83.92,11.6,0,0,yellowish,3,"September 21st, 2023",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,Thailand,False,medium,specialty
97,Colombia,,3/37/1370,"Racafé & CIA S.C.A, Km 5 Vía Pereira",3/37/1370,Marubeni Corporation,1411.0,Americas,RACAFE & CIA SCA,375,70 kg,Japan Coffee Exchange,2022 / 2023,"April 17th, 2023",Ikuto Uehara,,Completed,Washed / Wet,7.67,7.75,7.67,7.75,7.67,7.67,10.0,10.0,10.0,7.67,0.0,83.83,11.9,0,1,green,1,"April 16th, 2024",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,Colombia,False,medium,specialty
98,Guatemala,FINCA ALTA LUZ,11/63/908,,11/63/908,"RETRILLAS DEL PACIFICO, S. A.",1400.0,Americas,MARIA DE LOS ANGELES PEREZ,600,30 kg,Asociacion Nacional Del Café,2021 / 2022,"May 13th, 2022",Angelica Paola Citan Lopez,"BOURBON, CATURRA Y CATIMOR",Completed,Natural / Dry,7.58,7.83,7.67,7.67,7.67,7.67,10.0,10.0,10.0,7.75,0.0,83.83,10.8,0,0,green,4,"May 13th, 2023",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -,Guatemala,False,medium,specialty
99,Guatemala,SAN RAFAEL URIAS VALDES,AMNI-22-0905,"BENEFICIO SANTA RITA, S. A.",11/54876/01,Asociación Nacional del Cafe,1491.996,Americas,"VALBROS, S. A.",635,30 kg,Asociacion Nacional Del Café,2021 / 2022,"May 19th, 2022",Angelica Paola Citan Lopez,Bourbon,Completed,Washed / Wet,7.58,7.92,7.5,7.67,7.75,7.67,10.0,10.0,10.0,7.75,0.0,83.83,10.9,0,1,greenish,4,"May 19th, 2023",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -,Guatemala,True,medium,specialty
100,Ethiopia,Gerbicho Lela Cooperative,1,Sidama Coffee Farmers Cooperative Union,010/0145/0064,Taylor Winch Coffee Ltd,2000.0,Africa,Sidama Coffee Farmers Cooperative Union,100,60 kg,Kenya Coffee Traders Association,2021 / 2022,"September 9th, 2022",Taylor Winch (Coffee) Ltd.,Ethiopian Heirlooms,Completed,Washed / Wet,7.83,7.67,7.5,7.92,7.5,7.67,10.0,10.0,10.0,7.75,0.0,83.83,12.0,0,0,green,12,"September 9th, 2023",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621,Ethiopia,False,high,specialty
101,Colombia,N / A,3-0068-00886,Trilladora Popayán,3-0068-00886,ECOM COLOMBIA,1700.0,Americas,Regional producers,285,70 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2022 / 2023,"February 22nd, 2023",Raúl Vargas,Caturra,Completed,Washed / Wet,7.92,7.75,7.42,7.58,7.92,7.67,10.0,10.0,10.0,7.58,0.0,83.83,12.1,2,5,green,5,"February 22nd, 2024",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,Calle 60A #3D-32 / Planta Baja / CQ Lab ASECC,Carlos Julian Ruiz - 3212026991,Colombia,False,high,specialty
102,United States (Hawaii),various farms,"The 2022 Pacific Rim Coffee Summit,US02",Aloha Hills Kona Coffee,,Taiwan Coffee Laboratory,500.0,Americas,Isla Custom Coffees,4,15 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"November 15th, 2022",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Completed,Washed / Wet,7.67,7.92,7.58,7.58,7.58,7.75,10.0,10.0,10.0,7.75,0.0,83.83,11.8,0,3,green,3,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",United States (Hawaii),False,low,specialty
103,Colombia,La Gallera,"The 2022 Pacific Rim Coffee Summit,CO02",La Gallera,,Taiwan Coffee Laboratory,1800.0,Americas,Oscar Javier Paez & Family,40,35 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"November 15th, 2022",PeiHsun Lin,Bourbon Sidra,Completed,Pulped natural / honey,7.67,7.92,7.67,7.58,7.67,7.67,10.0,10.0,10.0,7.58,0.0,83.75,10.6,0,0,greenish,1,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Colombia,False,high,specialty
104,Mexico,Finca Custepec,312,exportadora de cafe california,016-2028-0312,Exportadora Café California,1200.0,Americas,Armando Pohlenz,600,30 kg,Centro Agroecológico del Café A.C.,2022 / 2023,"April 5th, 2023",ANDREAS KUSSMAUL,Sarchimor,Completed,Washed / Wet,7.67,7.67,7.58,7.67,7.83,7.58,10.0,10.0,10.0,7.75,0.0,83.75,11.7,4,0,green,12,"April 4th, 2024",Centro Agroecológico del Café A.C.,"Instituto de Ecología A. C., Campus III Edificio A Planta Baja Carretera Antigua a Coatepec No. 351 Col. El Haya C.P. 91070 Xalapa, Veracruz, México.",Stephany Escamilla Femat - Tel. +52 228 8421800 Ext. 3092,Mexico,False,low,specialty
105,Colombia,,,,,Coffee Quality Institute,,Americas,,1,1 kg,Barista and Coffee Academy of Asia,2022,"September 26th, 2022",Coffee Quality Institute,,Completed,,7.83,7.75,7.5,7.58,7.67,7.67,10.0,10.0,10.0,7.67,0.0,83.67,12.4,1,0,greenish,9,"September 26th, 2023",Barista and Coffee Academy of Asia,"The Place Bldg., Tunasan, Muntinlupa City, Metro Manila ​Philippines",Rosario Cruz - +63 995 344 5688,Colombia,False,,specialty
106,Taiwan,永舜咖啡莊園,202203,yes,non,Yongshun,1250.0,Asia-Pacific,蘇甘永,50,2 kg,Blossom Valley International宸嶧國際,2022,"October 24th, 2022",Yongshun,SL34,Completed,Washed / Wet,7.67,7.67,7.75,7.75,7.5,7.67,10.0,10.0,10.0,7.67,0.0,83.67,10.0,0,0,bluish-green,0,"October 24th, 2023",Blossom Valley International宸嶧國際,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen陳嘉峻 - +886423022323,Taiwan,False,medium,specialty
107,Myanmar,Aromatic,"The 2022 Pacific Rim Coffee Summit,MM01",Aromatic,,Taiwan Coffee Laboratory,1400.0,Asia-Pacific,Lim,100,30 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"November 15th, 2022",PeiHsun Lin,"Catimor,Catuai,Caturra,Bourbon",Completed,Natural / Dry,7.83,7.83,7.67,7.58,7.58,7.58,10.0,10.0,10.0,7.58,0.0,83.67,10.2,0,1,pale yellow,1,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Myanmar,False,medium,specialty
108,Taiwan,恆珊農場,A05-Northern Taiwan Specialty Coffee Evaluation,恆珊農場,,Taiwu Coffee Cooperative,300.0,Asia-Pacific,羅以珊,1,13 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",Taiwu,unknown,Completed,Pulped natural / honey,7.58,7.75,7.67,7.83,7.5,7.67,10.0,10.0,10.0,7.67,0.0,83.67,9.2,0,0,greenish,0,"January 6th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Taiwan,False,low,specialty
109,Honduras,Maria Bonita,"The 2022 Pacific Rim Coffee Summit,HN01","Cafe Organic Marcala, S.A. (COMSA)",,Taiwan Coffee Laboratory,1470.0,Americas,Pedro Turcios,9,15 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021,"November 15th, 2022",Taiwan Coffee Laboratory 台灣咖啡研究室,Parainema,Completed,Natural / Dry,7.67,7.67,7.58,7.75,7.67,7.67,10.0,10.0,10.0,7.67,0.0,83.67,11.1,0,2,pale yellow,1,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Honduras,False,medium,specialty
110,Taiwan,正源咖啡,A30-Northern Taiwan Specialty Coffee Evaluation,正源咖啡,,Taiwu Coffee Cooperative,325.0,Asia-Pacific,彭文正,1,10 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",Taiwu,unknown,Completed,Natural / Dry,7.58,7.67,7.5,7.75,7.75,7.67,10.0,10.0,10.0,7.67,0.0,83.58,8.4,0,0,green,0,"January 6th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Taiwan,False,low,specialty
111,Taiwan,宋明光	蝙蝠洞莊園	蝙蝠洞莊園,A14-Northern Taiwan Specialty Coffee Evaluation,宋明光	蝙蝠洞莊園	蝙蝠洞莊園,,Taiwu Coffee Cooperative,275.0,Asia-Pacific,宋明光,1,10 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"January 6th, 2023",Taiwu,Typica,Completed,Pulped natural / honey,7.58,7.75,7.58,7.75,7.58,7.67,10.0,10.0,10.0,7.67,0.0,83.58,9.1,0,0,green,0,"January 6th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",Taiwan,False,low,specialty
112,Guatemala,SAN FRANCISCO COTZAL,P-4142,"INMOBILIARIA E INVERSIONES DOS MIL, S. A.",11/441/50,Asociación Nacional del Cafe,1600.0,Americas,SAN FRANCISCO COTZAL,275,69 kg,Asociacion Nacional Del Café,2021 / 2022,"May 19th, 2022",Angelica Paola Citan Lopez,Caturra,Completed,Washed / Wet,7.58,7.83,7.58,7.67,7.58,7.58,10.0,10.0,10.0,7.75,0.0,83.58,10.9,0,2,green,4,"May 19th, 2023",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -,Guatemala,False,medium,specialty
113,Honduras,varias,AMNI-22-6011-1,Beneficio seco,13-167-471,Cafe Organico Marcala S.A de C.V.,1400.0,Americas,comsa,260,69 kg,Instituto Hondureño del Café,2021 / 2022,"August 17th, 2022",Eliud Hernandez Gonzales,SHG,Completed,Washed / Wet,7.75,7.67,7.58,7.58,7.58,7.67,10.0,10.0,10.0,7.67,0.0,83.5,11.2,0,1,green,5,"August 17th, 2023",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,Honduras,False,medium,specialty
114,Colombia,La fortaleza,3-0104-00202 Popayán Supremo,Trilladora Pubenza,3-0104-00202,Cafe Colsuaves,1700.0,Americas,La fortaleza,600,30 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2022,"January 18th, 2023",pablo velosa,Caturra,Completed,Washed / Wet,7.75,7.75,7.5,7.58,7.83,7.5,10.0,10.0,10.0,7.58,0.0,83.5,12.2,0,0,bluish-green,2,"January 18th, 2024",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,Calle 60A #3D-32 / Planta Baja / CQ Lab ASECC,Carlos Julian Ruiz - 3212026991,Colombia,False,high,specialty
115,Thailand,Doi Tung Development Project,BOURBON 21/22 (Coffea Arabica),Dry Mill,,Doi Tung Development Project,1390.0,Asia-Pacific,Doi Tung Development Project,2,1 kg,FABB Academy of Coffee,2022,"July 14th, 2022",Doi Tung Development Project,Bourbon,Completed,Washed / Wet,7.42,7.83,7.58,7.67,7.67,7.75,10.0,10.0,10.0,7.58,0.0,83.5,13.1,0,0,green,0,"July 14th, 2023",FABB Academy of Coffee,"FABB ACADEMY OF COFFEE 259/313 SUKHUMVIT 71 RD., SOI PRIDI BANOMYONG 15, VHADANA BKK, 10110 THAILAND",Janejira Kamonsawedkun - +(66) 095 095 9593,Thailand,False,medium,specialty
116,Ethiopia,YHAENU PLC FARM,1,GUJI COFFEE EXPORT P.L.C,,yhaenu plc,1700.0,Africa,YHAENU PLC,320,19200 kg,METAD Agricultural Development plc,2021 / 2022,"November 30th, 2022",YHAENU PLC,Ethiopian Heirlooms,Completed,Washed / Wet,7.42,7.42,7.42,8.0,7.92,7.67,10.0,10.0,10.0,7.67,0.0,83.5,10.4,0,1,greenish,11,"November 30th, 2023",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",Ethiopia,False,high,specialty
117,Thailand,Doi Nan,CQU2022011,Doi Nan,,Coffee Quality Union,1450.0,Asia-Pacific,Chalerm,5,2 kg,Japan Coffee Exchange,2022,"June 16th, 2022",Coffee Quality Union,Java,Completed,Washed / Wet,7.67,7.67,7.5,7.67,7.58,7.67,10.0,10.0,10.0,7.67,0.0,83.42,11.6,0,2,green,0,"June 16th, 2023",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,Thailand,False,medium,specialty
118,Uganda,Bugisu Shamba,035/170/5021210,Kawacom,,Kawacom uganda LTD,1650.0,Africa,Kawacom Uganda Ltd,150,60 kg,Uganda Coffee Development Authority,2021 / 2022,"July 7th, 2022",Kawacom Uganda LTD,SL14,Completed,Washed / Wet,7.75,7.75,7.5,7.5,7.58,7.58,10.0,10.0,10.0,7.75,0.0,83.42,10.1,0,0,green,3,"July 7th, 2023",Uganda Coffee Development Authority,"Coffee House, Plot 35, Jinja Road, P.O. Box 7267, Kampala, Uganda",Brenda Kamara Kemigisha Mangeni - 256773040119,Uganda,False,high,specialty
